,url,input_tag,input_tag_value,src_link,form_handler,form_handler_value,invisible_iframe,invisible_iframe_value,rewrite_statusbar,disable_rightclick,ahref_link,popup_window,popup_window_value,favicon_link,old_technologies,missleading_link,missleading_link_value,hostname_title,ip_address,url_length,host_length,path_length,query_length,fragment_length,user_info,domain_count,https_used,extra_https,shortening_service,non_std_port,spec_chars_path,spec_chars_query,spec_chars_fragment,spec_chars_host,gtld,www_prefix,four_numbers,spec_keywords,punycode,redirect,google_index,dns_a_record,dnssec,dns_created,dns_updated,ssl_created,ssl_expire,ssl_subject,hsts,xss_protection,csp,x_frame,x_content_type,asn,similar_domain,label,dns_created_value,dns_updated_value,ssl_created_value,ssl_expire_value,asn_value
228,http://patraglobal.com/2019/0308/c9257a144735/page.htm,1,2,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,0.0,0.272109,0.185185,0.352273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2019-01-19,2019-01-21,0,0,0
229,http://hacheyou.com/news/2008/10/qi72261329101920180026992.html,0,0,0.05128205128205128,0,0,0,0,0,0,0.04651162790697674,0,0,0,1,1,1,1,0.0,0.333333,0.0740741,0.48863599999999996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
230,http://mybudgetwebsales.com/css/uss/delta.com,1,24,0.0,0,0,0,0,0,0,1.0,0,0,1,1,1,21,1,0.0,0.21088400000000002,0.37037,0.193182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2011-04-26,2019-03-28,0,0,AS46606
232,http://hacheyou.com/zhinan/fushi/li2014042309202729523413.shtml,0,0,0.05128205128205128,0,0,0,0,0,0,0.045977011494252866,0,0,0,1,1,1,1,0.0,0.333333,0.0740741,0.48863599999999996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
234,http://patraglobal.com/2019/0314/c11556a144989/page.htm,1,2,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,0.0,0.278912,0.185185,0.363636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2019-01-19,2019-01-21,0,0,0
235,http://hacheyou.com/master/law/li2014052716334845874371.shtml,0,0,0.09523809523809523,0,0,0,0,0,0,0.06329113924050632,0,0,0,1,1,1,1,0.0,0.319728,0.0740741,0.465909,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
236,http://hacheyou.com/english/zhidao/li1501264541.shtml,0,0,0.05128205128205128,0,0,0,0,0,0,0.045454545454545456,0,0,0,1,1,1,1,0.0,0.265306,0.0740741,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
237,http://hacheyou.com/master/law/li2014052716323790568648.shtml,0,0,0.09523809523809523,0,0,0,0,0,0,0.06329113924050632,0,0,0,1,1,1,1,0.0,0.319728,0.0740741,0.465909,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
238,http://hacheyou.com/news/2008/8/qi064029215851880028816.html,0,0,0.14285714285714285,0,0,0,0,0,0,0.05434782608695652,0,0,0,1,1,1,1,0.0,0.312925,0.0740741,0.454545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
239,http://hacheyou.com/zhinan/chafen/li1503098921.shtml,0,0,0.05128205128205128,0,0,0,0,0,0,0.045454545454545456,0,0,0,1,1,1,1,0.0,0.25850300000000004,0.0740741,0.363636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
